Gaussian Function_0_0,x + tan(x),tensor(0.1107),-63.52581094175406
Gaussian Function_0_1,x**4 + 2*x,tensor(0.1264),-46.78439959261538
Gaussian Function_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f584b2a00>>
Gaussian Function_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41b7640>>
Gaussian Function_0_4,x + sin(x),tensor(0.1244),-48.561398420604355
Gaussian Function_0_5,3*atanh(x),tensor(0.0657),-201.0395828384874
Gaussian Function_0_6,log(-16*x**4),tensor(0.),0
Gaussian Function_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4116580>>
Gaussian Function_0_8,sin(x),tensor(0.1723),-22.081783776166763
Gaussian Function_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453d90>>
Gaussian Function_0_10,sin(x)*cos(x),tensor(0.1853),-18.329567618047413
Gaussian Function_0_11,x*(x + cos(5)),tensor(0.2373),-9.32771092251224
Gaussian Function_0_12,x*(4*x + 4),tensor(0.0700),-175.32709801488022
Gaussian Function_0_13,-x + 2*exp(x),tensor(0.1010),-78.18212768106828
Gaussian Function_0_14,3*x + 3,tensor(0.0680),-186.77409660670682
Gaussian Function_0_15,x**3*cos(2),tensor(0.2070),-13.670772148411652
Gaussian Function_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26626fd0>>
Gaussian Function_0_17,6*x**5,tensor(0.0900),-101.31280150884491
Gaussian Function_0_18,x**2 + sin(x),tensor(0.1970),-15.619212535775333
Gaussian Function_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e08ff70>>
Gaussian Function_0_20,sin(x),tensor(0.1723),-22.081783776166763
Gaussian Function_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f262e0cd0>>
Gaussian Function_0_22,cos(x) + 2,tensor(0.0868),-109.75487959734095
Gaussian Function_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580fad90>>
Gaussian Function_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051a0ee0>>
Gaussian Function_0_25,3*x,tensor(0.0913),-98.03678930739117
Gaussian Function_0_26,x**2*exp(5),tensor(0.0029),-116440.55580163625
Gaussian Function_0_27,4*x**4,tensor(0.1376),-38.310484494561315
Gaussian Function_0_28,x*(x**2 + sin(x)),tensor(0.2170),-12.020887696350215
Gaussian Function_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05afa1f0>>
Gaussian Function_0_30,x*(x + cosh(x)),tensor(0.1675),-23.71965201835215
Gaussian Function_0_31,asinh(x),tensor(0.1713),-22.41268876634367
Gaussian Function_0_32,x**2 + x/2,tensor(0.2259),-10.738489359976473
Gaussian Function_0_33,8*x**3,tensor(0.0579),-263.993130040603
Gaussian Function_0_34,x/sin(2),tensor(0.1617),-25.88333973769471
Gaussian Function_0_35,x**2 + x,tensor(0.1900),-17.18048292977211
Gaussian Function_0_36,0,tensor(0.),0
Gaussian Function_0_37,x*(x + exp(x)),tensor(0.1556),-28.4434927584742
Gaussian Function_0_38,x - tanh(x),tensor(0.2055),-13.942698678466995
Gaussian Function_0_39,sin(3*x)/3,tensor(0.1982),-15.369842812648894
Gaussian Function_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0588e460>>
Gaussian Function_0_41,exp(x - 4),tensor(0.2127),-12.707720709198803
Gaussian Function_0_42,atan(x),tensor(0.1749),-21.26429221780677
Gaussian Function_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06223d90>>
Gaussian Function_0_44,x + tanh(1),tensor(0.2481),-8.180558923573352
Gaussian Function_0_45,x + x*tan(1),tensor(0.1026),-75.50086903578244
Gaussian Function_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064ba2b0>>
Gaussian Function_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064bac70>>
Gaussian Function_0_48,x**2 + sinh(x),tensor(0.1825),-19.073534133444028
Gaussian Function_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f262429d0>>
Gaussian Function_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06066ac0>>
Gaussian Function_0_51,x**3*exp(x) + x,tensor(0.1322),-42.079639342678185
Gaussian Function_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe417f4f0>>
Gaussian Function_0_53,sqrt(x) + x**3,tensor(0.),0
Gaussian Function_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06066f40>>
Gaussian Function_0_55,cos(x)**5,tensor(0.4309),-0.7449211207264892
Gaussian Function_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26780cd0>>
Gaussian Function_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4085c10>>
Gaussian Function_0_58,-x*cos(x) + x,tensor(0.2013),-14.736478888592536
Gaussian Function_0_59,x**2*(x + sin(x)),tensor(0.1551),-28.681997811153483
Gaussian Function_0_60,atan(x),tensor(0.1749),-21.26429221780677
Gaussian Function_0_61,x**3 + sin(x),tensor(0.1406),-36.36286586034242
Gaussian Function_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4149dc0>>
Gaussian Function_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06066d30>>
Gaussian Function_0_64,sin(x + 5),tensor(0.1120),-61.90726104286555
Gaussian Function_0_65,x**2 + exp(x),tensor(0.1483),-31.961945183252695
Gaussian Function_0_66,x*sin(4),tensor(0.1893),-17.341235756656
Gaussian Function_0_67,x + sin(x),tensor(0.1244),-48.561398420604355
Gaussian Function_0_68,5*x**4,tensor(0.1143),-59.04313749881634
Gaussian Function_0_69,cos(x)**3,tensor(0.6015),0.5609365917888367
Gaussian Function_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e17f6d0>>
Gaussian Function_0_71,-5*tan(5*x),tensor(0.0036),-75008.62020048116
Gaussian Function_0_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f25fc6a90>>
Gaussian Function_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583df820>>
Gaussian Function_0_74,x*cos(1),tensor(0.1913),-16.863658341224717
Gaussian Function_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2662f8b0>>
Gaussian Function_0_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8417b400>>
Gaussian Function_0_77,4*cos(x)*cosh(x),tensor(0.0600),-244.3811099195092
Gaussian Function_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f84055970>>
Gaussian Function_0_79,x + atan(x),tensor(0.1263),-46.89578654387071
Gaussian Function_0_80,2*cosh(x),tensor(0.1040),-73.23825425883732
Gaussian Function_0_81,sin(x)/4,tensor(0.2040),-14.23258721640817
Gaussian Function_0_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265d3c10>>
Gaussian Function_0_83,x - cosh(x),tensor(0.0882),-105.81945670985067
Gaussian Function_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f062369d0>>
Gaussian Function_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64175bb0>>
Gaussian Function_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641757c0>>
Gaussian Function_0_87,cos(x + 4),tensor(0.1250),-48.02799567925915
Gaussian Function_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266228b0>>
Gaussian Function_0_89,0,tensor(0.),0
Gaussian Function_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05647940>>
Gaussian Function_0_91,sqrt(x) + 4,tensor(0.),0
Gaussian Function_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8417f550>>
Gaussian Function_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64175730>>
Gaussian Function_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641753d0>>
Gaussian Function_0_95,x**2 + exp(x),tensor(0.1483),-31.961945183252695
Gaussian Function_0_96,log(sin(x)),tensor(0.),0
Gaussian Function_0_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05d88820>>
Gaussian Function_0_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05181c70>>
Gaussian Function_0_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05181d60>>
Gaussian Function_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e08f7c0>>
Gaussian Function_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e08f670>>
Gaussian Function_0_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa416e310>>
Gaussian Function_0_103,x - sinh(x),tensor(0.2087),-13.37179964454325
Gaussian Function_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064f3490>>
Gaussian Function_0_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f262e0100>>
Gaussian Function_0_106,x - tan(x),tensor(0.2059),-13.869724515415648
Gaussian Function_0_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58453280>>
Gaussian Function_0_108,sinh(x)/2,tensor(0.1907),-17.005418030192782
Gaussian Function_0_109,sin(6*x),tensor(0.1643),-24.877187275266145
Gaussian Function_0_110,-x*cos(x),tensor(0.1907),-17.01844447862008
Gaussian Function_0_111,sin(x)**2,tensor(0.2463),-8.361407334007374
Gaussian Function_0_112,cos(x + 4),tensor(0.1250),-48.02799567925915
Gaussian Function_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f267b4b50>>
Gaussian Function_0_114,x + tanh(x) + 1,tensor(0.1536),-29.377610087904763
Gaussian Function_0_115,sin(x),tensor(0.1723),-22.081783776166763
Gaussian Function_0_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e047ac0>>
Gaussian Function_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0bfeb0>>
Gaussian Function_0_118,-tanh(x),tensor(0.1847),-18.47503327118638
Gaussian Function_0_119,atan(x),tensor(0.1749),-21.26429221780677
Gaussian Function_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0bffa0>>
Gaussian Function_0_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055fbe20>>
Gaussian Function_0_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05613a00>>
Gaussian Function_0_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05613280>>
Gaussian Function_0_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f056132b0>>
Gaussian Function_0_125,x + cosh(x),tensor(0.2064),-13.786720090340383
Gaussian Function_0_126,-sin(x + 6),tensor(0.2188),-11.752032718511593
Gaussian Function_0_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5848f190>>
Gaussian Function_1_0,x**2 + x + asinh(x),tensor(0.1341),-40.7260446387905
Gaussian Function_1_1,x**2/2 + sinh(x),tensor(0.1751),-21.19976283305162
Gaussian Function_1_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06066820>>
