 Nguyen-3_0_0,x + tan(x),tensor(0.6051),0.5741894460677737
 Nguyen-3_0_1,x**4*sinh(x),tensor(0.5357),0.24896422018969688
 Nguyen-3_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4131910>>
 Nguyen-3_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64145400>>
 Nguyen-3_0_4,x + sin(x),tensor(0.6080),0.5842335146790447
 Nguyen-3_0_5,3*atanh(x),tensor(0.4253),-0.8263695588527558
 Nguyen-3_0_6,log(x**6),tensor(0.1371),-38.586419301100925
 Nguyen-3_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26340dc0>>
 Nguyen-3_0_8,sin(3*x),tensor(0.5336),0.23592387080384036
 Nguyen-3_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064ba280>>
 Nguyen-3_0_10,x*asinh(2),tensor(0.6013),0.5601793152217092
 Nguyen-3_0_11,x*(x + cos(x)),tensor(0.5952),0.5373008853345091
 Nguyen-3_0_12,x*(x + 1),tensor(0.6436),0.6933019480347765
 Nguyen-3_0_13,-x + 2*exp(x),tensor(0.4006),-1.2388398268256982
 Nguyen-3_0_14,x*(x + 1)**2,tensor(0.7834),0.9235170478883354
 Nguyen-3_0_15,x**3*cos(2),tensor(0.4633),-0.34243314887642984
 Nguyen-3_0_16,x*(x + 1),tensor(0.6436),0.6933019480347765
 Nguyen-3_0_17,6*x**5,tensor(0.5287),0.20563911653929812
 Nguyen-3_0_18,x**2 + sinh(x),tensor(0.6628),0.7410970082749772
 Nguyen-3_0_19,2*x + cos(x),tensor(0.6220),0.6305930732771854
 Nguyen-3_0_20,x*(x + sin(x)),tensor(0.5066),0.05157405367355483
 Nguyen-3_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640ab0d0>>
 Nguyen-3_0_22,cos(x) + 2,tensor(0.3214),-3.4585446855160553
 Nguyen-3_0_23,2*x + exp(x),tensor(0.5656),0.41006969460337983
 Nguyen-3_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05afb3d0>>
 Nguyen-3_0_25,3*x,tensor(0.5463),0.31038864324264803
 Nguyen-3_0_26,x**2*exp(5),tensor(0.0188),-2729.969650418528
 Nguyen-3_0_27,x**3*(x + cos(x)),tensor(0.5569),0.36675197598794784
 Nguyen-3_0_28,x*(sin(x) + 1),tensor(0.6374),0.6764807409309801
 Nguyen-3_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05afbf10>>
 Nguyen-3_0_30,x*(x + cosh(x)),tensor(0.7041),0.823319495201871
 Nguyen-3_0_31,log(x)**(-3),tensor(0.),0
 Nguyen-3_0_32,x**2 + cos(x)*acos(x),tensor(0.3776),-1.7160208236676677
 Nguyen-3_0_33,7*x**3,tensor(0.4194),-0.9165164639742722
 Nguyen-3_0_34,x*tan(x)**2,tensor(0.5895),0.5152887563626809
 Nguyen-3_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f267c7e20>>
 Nguyen-3_0_36,x*(x + sin(x)),tensor(0.5066),0.05157405367355483
 Nguyen-3_0_37,x*(x + 2),tensor(0.7443),0.8819295308254715
 Nguyen-3_0_38,x - tan(x),tensor(0.4597),-0.38164850126719996
 Nguyen-3_0_39,sin(3*x)/3,tensor(0.5094),0.07249606671045139
 Nguyen-3_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5808c220>>
 Nguyen-3_0_41,x + sin(x),tensor(0.6080),0.5842335146790447
 Nguyen-3_0_42,2*x*cos(x),tensor(0.5870),0.5048033984199903
 Nguyen-3_0_43,x**(1/6) + exp(x),tensor(0.),0
 Nguyen-3_0_44,x*(x + cos(5)),tensor(0.5446),0.30087025595843686
 Nguyen-3_0_45,x*(x + tan(1)),tensor(0.7209),0.8500758170289082
 Nguyen-3_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41338e0>>
 Nguyen-3_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581c1100>>
 Nguyen-3_0_48,x**2 + sinh(x),tensor(0.6628),0.7410970082749772
 Nguyen-3_0_49,3*x*sin(x),tensor(0.4833),-0.14268305347579235
 Nguyen-3_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5835a910>>
 Nguyen-3_0_51,x**2*exp(x) + x,tensor(0.8247),0.9548254687754559
 Nguyen-3_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f04bd4c40>>
 Nguyen-3_0_53,sqrt(x) + tan(x)**2,tensor(0.),0
 Nguyen-3_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2626b400>>
 Nguyen-3_0_55,cos(x)**5,tensor(0.4766),-0.20645890612688533
 Nguyen-3_0_56,-x + sinh(x),tensor(0.4964),-0.028856336352111045
 Nguyen-3_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0588eee0>>
 Nguyen-3_0_58,x*asinh(2),tensor(0.6013),0.5601793152217092
 Nguyen-3_0_59,x**2*(x + sin(x)),tensor(0.5934),0.5304786319791359
 Nguyen-3_0_60,x**2*cosh(1),tensor(0.5117),0.0893530672862124
 Nguyen-3_0_61,x**3 + sin(x),tensor(0.6125),0.5996167534399977
 Nguyen-3_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41ac8e0>>
 Nguyen-3_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064babe0>>
 Nguyen-3_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064baee0>>
 Nguyen-3_0_65,x**2 + tan(x),tensor(0.6991),0.8147739562889424
 Nguyen-3_0_66,x*sinh(2),tensor(0.4908),-0.07664211273368315
