meu teste_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62f8037ac0>>
meu teste_0_1,x**4 + 5*x**3/3,tensor(0.0378),-645.361985906873
meu teste_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62701352e0>>
meu teste_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62781c4e50>>
meu teste_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6270197e50>>
meu teste_0_5,3*atanh(x),tensor(0.0378),-648.3690404270338
meu teste_0_6,log(16*x),tensor(0.),0
meu teste_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6230194d90>>
meu teste_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62781d4dc0>>
meu teste_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301b4430>>
meu teste_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62281686a0>>
meu teste_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62780a8700>>
meu teste_0_12,-3*x**2/8,tensor(0.0395),-591.6966113421602
meu teste_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62781d4af0>>
meu teste_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f627817ba00>>
meu teste_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f627817bb20>>
meu teste_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301c95b0>>
meu teste_0_17,6*x**5,tensor(0.0385),-622.8390249437056
meu teste_0_18,-5*x**2 + 2*x,tensor(0.0491),-373.5012490016452
meu teste_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f037f430>>
meu teste_0_20,x*(x + sin(x)),tensor(0.0355),-739.1869551630376
meu teste_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301aecd0>>
meu teste_0_22,cos(x) + 2,tensor(0.0283),-1177.708958165918
meu teste_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f046c7f0>>
meu teste_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301b3460>>
meu teste_0_25,3*x + log(x),tensor(0.),0
meu teste_0_26,x**2*exp(5),tensor(0.0040),-63070.45374084673
meu teste_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f03a00d0>>
meu teste_0_28,x*(sin(x) + 1),tensor(0.0373),-664.1578736378806
meu teste_0_29,908*x,tensor(0.0005),-3306426.423335127
meu teste_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6230057a90>>
meu teste_0_31,asinh(x - 3),tensor(0.0508),-348.1646806957847
meu teste_0_32,x**2 - x/2,tensor(0.0368),-684.5000079560969
meu teste_0_33,8*x**3,tensor(0.0372),-668.463802884645
meu teste_0_34,x/(x + 2),tensor(0.0395),-591.7053105186117
meu teste_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f046c1c0>>
meu teste_0_36,x*acos(4),tensor(0.),0
meu teste_0_37,2*x**3 + x,tensor(0.0389),-610.5685997463208
meu teste_0_38,x - tanh(x),tensor(0.0388),-612.5833719692085
meu teste_0_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62781d4ca0>>
meu teste_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62300f0940>>
meu teste_0_41,x + sinh(x),tensor(0.0389),-610.1203526315097
meu teste_0_42,5*x**3/3,tensor(0.0390),-607.4607653739473
meu teste_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f0394df0>>
meu teste_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62701e8be0>>
meu teste_0_45,log(x) - cos(x),tensor(0.),0
meu teste_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62701e8ac0>>
meu teste_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301b2220>>
meu teste_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301b22b0>>
meu teste_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301b27c0>>
meu teste_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62780b5160>>
meu teste_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301f1c10>>
meu teste_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6270197a90>>
meu teste_0_53,x + 10,tensor(0.0169),-3400.8270045458407
meu teste_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6270161310>>
meu teste_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62780a8b20>>
meu teste_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62701611f0>>
meu teste_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f627011f100>>
meu teste_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301b4340>>
meu teste_0_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62701a30d0>>
meu teste_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62701a33d0>>
meu teste_0_61,2*x + acos(x),tensor(0.0323),-897.4106162413639
meu teste_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301af220>>
meu teste_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62301afa30>>
