 Nguyen-5_0_0,-x**4/4 + x**3/3 + x,tensor(0.2886),-5.078448609823766
 Nguyen-5_0_1,3*E*x,tensor(0.0811),-127.23780486143804
 Nguyen-5_0_2,x*cosh(x) - x,tensor(0.2697),-6.32929477719616
 Nguyen-5_0_3,sin(4*x**2)/8,tensor(0.2502),-7.979139399449583
 Nguyen-5_0_4,8*x**2,tensor(0.0790),-134.94540842426
 Nguyen-5_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952bb96c50>>
 Nguyen-5_0_6,exp(2*x + 4),tensor(0.0028),-124290.87388679913
 Nguyen-5_0_7,4*log(x),tensor(0.),0
 Nguyen-5_0_8,x**3*sin(x),tensor(0.2296),-10.258825430362162
 Nguyen-5_0_9,x - sin(x + 4),tensor(0.1940),-16.25426749309246
 Nguyen-5_0_10,2*x**(3/2)/3,tensor(0.),0
 Nguyen-5_0_11,4*x + 4*log(x),tensor(0.),0
 Nguyen-5_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952bb9e850>>
 Nguyen-5_0_13,x*exp(5*x),tensor(0.0128),-5906.99509975475
 Nguyen-5_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952bb9e590>>
 Nguyen-5_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952bbac4d0>>
 Nguyen-5_0_16,x*(x**4 + x)**3,tensor(0.1734),-21.74008960551654
 Nguyen-5_0_17,x,tensor(0.2840),-5.357102660773727
 Nguyen-5_0_18,4*x - 3,tensor(0.1162),-56.88694078078062
 Nguyen-5_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952bbaf2d0>>
 Nguyen-5_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952bbaf350>>
 Nguyen-5_0_21,2*x + exp(2*x),tensor(0.0965),-86.72232401041106
 Nguyen-5_0_22,x*(x + sin(x) + 2),tensor(0.1759),-20.93733071943999
 Nguyen-5_0_23,-2*x*cos(x),tensor(0.1858),-18.209074314715178
 Nguyen-5_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952bbadd10>>
 Nguyen-5_0_25,(x + asin(x))**4,tensor(0.0385),-621.6520892268207
 Nguyen-5_0_26,(2 - 2*x)*exp(x),tensor(0.1261),-47.04652305564094
 Nguyen-5_0_27,pi/(8*x),tensor(0.1440),-34.31028465551592
 Nguyen-5_0_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952b9b7e10>>
 Nguyen-5_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952b9c46d0>>
 Nguyen-5_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952b9c48d0>>
 Nguyen-5_0_31,2*x*(x + 1),tensor(0.1727),-21.96014334359128
 Nguyen-5_1_0,x + exp(x*(x + atan(x))),tensor(0.1017),-77.07501778716949
 Nguyen-5_1_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba4b1d0>>
 Nguyen-5_1_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba4a5d0>>
 Nguyen-5_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba48850>>
 Nguyen-5_1_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba71410>>
 Nguyen-5_1_5,2 - 6*x**3,tensor(0.0862),-111.46138758460766
 Nguyen-5_1_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f92a36569d0>>
 Nguyen-5_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba72fd0>>
 Nguyen-5_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba73190>>
 Nguyen-5_1_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba72f90>>
 Nguyen-5_1_10,x*(x + sin(x)),tensor(0.1744),-21.42012271317284
 Nguyen-5_1_11,x*(x*cos(1) + 1) + x/2,tensor(0.2408),-8.937569816994175
 Nguyen-5_1_12,x**2*(3*x**2 + x),tensor(0.1746),-21.337232551239026
 Nguyen-5_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952b9f0b90>>
 Nguyen-5_1_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba7cf10>>
 Nguyen-5_1_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba7e610>>
 Nguyen-5_1_16,-x**3*exp(3*sqrt(3)/2)/3,tensor(0.1412),-35.98217018845786
 Nguyen-5_1_17,x*log(x + 3),tensor(0.2604),-7.070599699666472
 Nguyen-5_1_18,2*x**2 + log(sin(x)),tensor(0.),0
 Nguyen-5_1_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba7d810>>
 Nguyen-5_1_20,tan(5)/x,tensor(0.0215),-2064.3938302863253
 Nguyen-5_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba7e250>>
 Nguyen-5_1_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba72810>>
 Nguyen-5_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba73450>>
 Nguyen-5_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba73590>>
 Nguyen-5_1_25,x*(x**2 + tan(1)),tensor(0.2349),-9.614438830517347
 Nguyen-5_1_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba3c510>>
 Nguyen-5_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f952ba27b10>>
 Nguyen-5_1_28,log(cos(x)) + sin(x),tensor(0.3287),-3.1708921319449335
