comparing_0_0,-x**4/4 + x**3/3 + x,tensor(0.0387),-616.4995175340214
comparing_0_1,x*log(x)**2/4,tensor(0.5016),0.012357258056774456
comparing_0_2,-sin(x),tensor(0.4748),-0.22319855670631772
comparing_0_3,x**2*sin(x) + x,tensor(0.8261),0.9557026067271419
comparing_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b115a10>>
comparing_0_5,x**2 + exp(x),tensor(0.0059),-28865.356780000533
comparing_0_6,x**2/2 + sin(2*x)/6,tensor(0.5102),0.0782269233929046
comparing_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b11c690>>
comparing_0_8,16*x**6 + 4*x**3/3,tensor(6.5586e-06),-23247477261.41408
comparing_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b11d450>>
comparing_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b11e050>>
comparing_0_11,-pi*x**2/4,tensor(0.3315),-3.066530374675019
comparing_0_12,x**2 + 5*x + sin(x),tensor(0.3123),-3.848659472718439
comparing_0_13,x**2/2 + exp(x) - log(cos(x)),tensor(0.),0
comparing_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b114e50>>
comparing_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b129390>>
comparing_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b128f90>>
comparing_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b129550>>
comparing_0_18,3*x - cos(x),tensor(0.5140),0.10595782746052496
comparing_0_19,x**4,tensor(0.0086),-13263.124702682238
comparing_0_20,x**3/3 + 2*x,tensor(0.1870),-17.897957073963276
comparing_0_21,x**5/5 + 12*x**3,tensor(0.0027),-132179.5554066909
comparing_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b12b790>>
comparing_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b13cad0>>
comparing_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b13d350>>
comparing_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b13dc90>>
comparing_0_26,x*(x + log(3)) + x,tensor(0.3705),-1.8875621535770297
comparing_0_27,2*x**(5/2)/5 - 2*x**3,tensor(0.0383),-630.2775389891965
comparing_0_28,4*x**3,tensor(0.0188),-2729.5143443003208
comparing_0_29,2*x**3/3 + 2*cos(x),tensor(0.1074),-68.08420139648486
comparing_0_30,x**4/4 + x**3/3 + sqrt(x**2 - 1),tensor(0.),0
comparing_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b142290>>
comparing_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b142d90>>
comparing_0_33,x*(2*x - 3),tensor(0.3124),-3.8445999523580214
comparing_0_34,x**2 + 5,tensor(0.4041),-1.1742689610581922
comparing_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b13df90>>
comparing_0_36,2*x + 2,tensor(0.5129),0.09829345661527178
comparing_0_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b12a950>>
comparing_0_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b12a690>>
comparing_0_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b12b590>>
comparing_0_40,x**4/4 + x**2/2 + 2*x,tensor(0.0327),-872.8878065487519
comparing_0_41,x/(x + 3),tensor(0.4813),-0.16165768919553858
comparing_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b11e790>>
comparing_0_43,x**3/(3*log(2)),tensor(0.1450),-33.76984955409616
comparing_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898af49bd0>>
comparing_0_45,(x - 70)*exp(x),tensor(9.7920e-05),-104273586.49507934
comparing_0_46,x**3/3 + x**2 + 6*x,tensor(0.1312),-42.82096632820109
comparing_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898b0bfd90>>
comparing_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898af50750>>
comparing_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898af50b10>>
comparing_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898af50cd0>>
comparing_0_51,sin(x/4),tensor(0.4818),-0.15711632138158382
comparing_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f898af515d0>>
comparing_0_53,x**2/2 + sinh(x)*cosh(x),tensor(1.5440e-06),-419484519512.0707
comparing_0_54,2*x + 2*log(x),tensor(0.5140),0.10603313721111252
comparing_0_55,x**5/7,tensor(0.0067),-21957.980363197403
