 Nguyen-6_0_0,x + tan(x),tensor(0.6504),0.7109996531079412
 Nguyen-6_0_1,2*x**3 + x,tensor(0.6143),0.6059095093973019
 Nguyen-6_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01b84a98b0>>
 Nguyen-6_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01dc168df0>>
 Nguyen-6_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018dc2cdc0>>
 Nguyen-6_0_5,2*x**2,tensor(0.4554),-0.42989579077875084
 Nguyen-6_0_6,3*x*log(1/x),tensor(0.),0
 Nguyen-6_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018de3c430>>
 Nguyen-6_0_8,x*(2*x + 4),tensor(0.3913),-1.4195740528965843
 Nguyen-6_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01fc0b3e80>>
 Nguyen-6_0_10,x + cosh(x),tensor(0.4809),-0.16478002247902146
 Nguyen-6_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018be957f0>>
 Nguyen-6_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018df21df0>>
 Nguyen-6_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018df21b20>>
 Nguyen-6_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018df21c10>>
 Nguyen-6_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018df216a0>>
 Nguyen-6_0_16,x**2*cos(5),tensor(0.5007),0.005650173359498911
 Nguyen-6_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01965b27c0>>
 Nguyen-6_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018beced00>>
 Nguyen-6_0_19,x*(2 - x),tensor(0.5555),0.35968364846014167
 Nguyen-6_0_20,x*(2*x + sin(x)),tensor(0.4053),-1.153556066134576
 Nguyen-6_0_21,2*cosh(x),tensor(0.2892),-5.041912393778372
 Nguyen-6_0_22,x*(x + tan(x)),tensor(0.4352),-0.6840943711924696
 Nguyen-6_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01b82fcbb0>>
 Nguyen-6_0_24,x**3 + x + sin(x),tensor(0.6035),0.5684583538374017
 Nguyen-6_0_25,x**2 + 2*x + sin(x),tensor(0.5586),0.375518564320932
 Nguyen-6_0_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01963e74c0>>
